   0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|

0  35|34|33|32|31|30|29|30|31|32|33|34|35|36|37|

1  34|33|32|31|30|29|28|29|30|31|32|33|34|35|36|

2  33|32|31|30|29|28|27|28|29|30|31|32|33|34|35|

3  32|31|30|29|28|27|26|27|28|29|30|31|32|33|34|

4  31|30|29|28|27|26|25|26|27|28|29|30|31|32|33|

5  30|29|28|27|26|25|24|25|26|27|28|29|30|31|32|

6  29|28|27|26|25|24|23|24|25|26|27|28|29|30|31|

7  28|27|26|25|24|23|22|23|24|25|26|27|28|29|30|

8  27|26|25|24|23|22|21|22|23|24|25|26|27|28|29|

9  26|25|24|23|22|21| 0|21|22|23|24|25|26|27|28|

10 27|26|25|24|23|22|21|22|23|24|25|26|27|28|29|

11 28|27|26|25|24|23|22|23|24|25|26|27|28|29|30|

12 29|28|27|26|25|24|23|24|25|26|27|28|29|30|31|

13 30|29|28|27|26|25|24|25|26|27|28|29|30|31|32|

14 31|30|29|28|27|26|25|26|27|28|29|30|31|32|33|

15 32|31|30|29|28|27|26|27|28|29|30|31|32|33|34|

16 33|32|31|30|29|28|27|28|29|30|31|32|33|34|35|

17 34|33|32|31|30|29|28|29|30|31|32|33|34|35|36|

18 35|34|33|32|31|30|29|30|31|32|33|34|35|36|37|

19 36|35|34|33|32|31|30|31|32|33|34|35|36|37|38|


   0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|

0  34|33|32|31|30|29|28|27|26|25|24|23|22|21|22|

1  33|32|31|30|29|28|27|26|25|24|23|22|21| 0|21|

2  34|33|32|31|30|29|28|27|26|25|24|23|22|21|22|

3  35|34|33|32|31|30|29|28|27|26|25|24|23|22|23|

4  36|35|34|33|32|31|30|29|28|27|26|25|24|23|24|

5  37|36|35|34|33|32|31|30|29|28|27|26|25|24|25|

6  38|37|36|35|34|33|32|31|30|29|28|27|26|25|26|

7  39|38|37|36|35|34|33|32|31|30|29|28|27|26|27|

8  40|39|38|37|36|35|34|33|32|31|30|29|28|27|28|

9  41|40|39|38|37|36|35|34|33|32|31|30|29|28|29|

10 42|41|40|39|38|37|36|35|34|33|32|31|30|29|30|

11 43|42|41|40|39|38|37|36|35|34|33|32|31|30|31|

12 44|43|42|41|40|39|38|37|36|35|34|33|32|31|32|

13 45|44|43|42|41|40|39|38|37|36|35|34|33|32|33|

14 46|45|44|43|42|41|40|39|38|37|36|35|34|33|34|

15 47|46|45|44|43|42|41|40|39|38|37|36|35|34|35|

16 48|47|46|45|44|43|42|41|40|39|38|37|36|35|36|

17 49|48|47|46|45|44|43|42|41|40|39|38|37|36|37|

18 50|49|48|47|46|45|44|43|42|41|40|39|38|37|38|

19 51|50|49|48|47|46|45|44|43|42|41|40|39|38|39|


